,twitterId,text,label
0,1.277939313586602e+18,"El próximo curso escolar contaremos con 6.000 nuevos docentes y 150.000 dispositivos electrónicos para luchar contra la brecha digital. Nunca antes se había apostado de una forma tan clara y firme por la #educación pública. Excelente trabajo, @JavierImbroda. ✅ #AndalucíaFunciona https://t.co/IBS9TW8HQP",0
4,1.2737101865077678e+18,"""No vamos a ser cómplices de la ley del silencio"".

Nuestros candidatos vascos se enfrentarán al miedo y al silencio y serán la única alternativa clara al separatismo y al socialismo cómplice. 
#PresentaciónDeCandidatos
#EleccionesVascas    https://t.co/yQaz7nJBp7",1
10,1.2739365753747784e+18,"Enhorabuena a los galardonados @SuerteAlta @Olivapalacios y #Ruidecanyes Su trabajo es fundamental para revalorizar los #aceites de #oliva virgen extra españoles, estimular a los productores y favorecer entre los consumidores el conocimiento de este #alimento.
@Alimentacion_es https://t.co/2Anw8gvi3r",0
12,1.2715478023179717e+18,"Sobre las residencias, Pablo Iglesias y los responsables de las CCAA deben dar explicaciones, incluso, ante un tribunal. 

""Tienen derecho a que se les recibiera en un hospital y no se puede elegir. Un político no puede elegir a quién salva y a quién no""
https://t.co/X9jloBobS2",0
17,1.2809064221470392e+18,"Proponemos más medidas para que nadie se quede atrás.

 Reconocer la nacionalidad a quienes trabajaron en primera línea frente al #Covid19.

 #RegularizarYA a las personas migrantes que han sufrido la pandemia junto con el pueblo español garantizando sus derechos humanos. https://t.co/Q19mjK7sRS",0
18,1.3047408503296942e+18,"El PP utilizó a más de 70 agentes para sus excrecencias mafiosas.

Van de patriotas pero, cuando se ven cerca de la cárcel, no dudan en arrastrar por el fango a la Policía y a quien haga falta. Nadie ha hecho más daño al cuerpo que el PP. https://t.co/DNO3kTVths",2
23,1.271307953459454e+18,"127 días llevan enterrados Joaquín y Alberto bajo la basura del vertedero de Zaldivar. 

127 días de silencio.",0
24,1.2787949594754007e+18,"Esta crisis es una crisis del sistema, una crisis estructural. Desde @ehbildu seguimos trabajando para crear nuestro propio país. Y no mendigamos competencias en Madrid, porque son nuestras. 

@pinedoleire 
#Prest #MereziDuzunHerria #MaddalenLehendakari https://t.co/G4VMxLQkjN",0
26,1.2729753644956795e+18,CONGRESO DIPUTADOS: NOMBRAMIENTO como AGENTES DE LA AUTORIDAD fUNCIONARIOS PRISIONES - ¡Firma la petición! https://t.co/XFztxxsH2Z a través de @change_es @tampm_Algeciras @tu_abandono @ACAIP1 @UGT_Comunica @sanchezcastejon @MinjuDDHH @InstitucionesP1 @CiudadanosCs @PSOE,0
29,1.27904704028314e+18,Van dez minutos de Telexornal e nin unha palabra do brote de coronavirus na Mariña...,0
30,1.2736132254190674e+18,"▶ @pablocasado_: “No compartimos el optimismo del Gobierno cuando habla de recuperación. No se puede hablar de recuperación cuando hay millones de personas en un ERTE o en paro, y cuando en España hay colas del hambre.“ @Plataforma3sect https://t.co/DClv3vyCkR",0
31,1.2787465838620508e+18,"⏮El Gobierno de #Page debería aprender de los errores y revertir las privatizaciones realizadas en la sanidad castellano-manchega.

  Los servicios públicos no deberían ser un negocio, sino unos servicios para el bienestar de la gente.

https://t.co/pOWWZikJY9",0
33,1.2329618602967572e+18,"  Ayer se reunieron EH Bildu y PSOE para hablar sobre el proyecto de presupuestos de Pedro Sánchez. Hoy, en el Congreso, se debate el techo de gasto, el paso previo a abordar los presupuestos.
#EnJake https://t.co/DYjJjHdPjy",0
35,1.3182944784494797e+18,"El colosal ridículo de un separatista que intentó arrancar una Bandera de España. 
Los payasos profesionales deberían presentar una queja al separatismo catalán. Con las carcajadas que provocan sus ocurrencias, les están dejando sin trabajo...  
https://t.co/umw7X5gwOn",1
38,1.2758031581833216e+18,"Desde @OxfamIntermon nos dan datos muy preocupantes. Existen opciones para evitar q muchas personas queden excluidas, entre otras, garantizar el acceso a derechos de los migrantes en situación irregular @CEARefugio  #RegularizacionUrgente https://t.co/vGyZ4UOGl2",0
42,1.2779263545337242e+18,"El #CMin inicia la tramitación del anteproyecto de ley de la cadena alimentaria que incorpora al derecho español la directiva comunitaria sobre prácticas desleales en el sector agroalimentario.

Objetivo: fortalecer la posición negociadora de agricultores/ganaderos

#FuturoAgro  https://t.co/o6jJNYTgEh",0
44,1.2732604199861985e+18," Alcaldes del #Área Metropolitana reclaman a la Junta el restablecimiento de las líneas de transporte interurbanas  ,  coincidiendo con el final de la declaración del Estado de alarma, para recuperar la realidad que existía antes del confinamiento.
▶️https://t.co/if72D84FKu https://t.co/tqpbMwwxNG",0
47,1.273662619082244e+18,"Manda huevos con el pijo supremacista. Un tipo que hace gala de su desprecio hacia lo español, de su inalterable superioridad catalana, uno de los corifeos del racista Torra, se permite ir de antirracista furibundo. https://t.co/opOKrgFaBp",2
48,1.3065167755599913e+18,"alvente: ¿Pero qué está pasando aquí? Esto es una patraña.
?Podemos: No seas tonto, ya sabes cómo funciona esto.

Tras rebelarse, fue cesado y acusado de abuso sexual, archivado meses después.

?No son las cloacas del Estado, son las de Podemos.
https://t.co/Ve9Wk6JRB9 https://t.co/JShxMSXpXs",1
49,1.2327472442035282e+18,"  ¡Ampliado el plazo hasta el día 27! 
Si necesitas un espacio para preparar actividades la semana previa al #8M, solicítanoslo 

❗️❗️Colectivos feministas, las puertas del #Injuve están abiertas

#InjuveFeminista #8Marzo #DíaInternacionalDeLaMujer

https://t.co/6MdcVhzoo3 https://t.co/cfp5oAq1s1",0
51,1.273897783561519e+18,Palabras del Rey en el acto de presentación de la campaña #spainforsure https://t.co/3R5r1b6vHY https://t.co/FjB1il2jeu,0
52,1.3192159210686917e+18,"Tras el día de ayer y la mañana de hoy en el Congreso, emerge el único discurso de Estado. Sincero, firme, realista; construido con el respeto que merece nuestro país. La solución para España es @pablocasado_ _  @populares #SíaEspañaNoAVox https://t.co/1jKLJBYucr",0
53,1.321778266802393e+18,"No todos en la Iglesia Católica andan a por uvas. ⬇️

“El islamismo es un fanatismo monstruoso que debe combatirse con fuerza y determinación. No detendrá su guerra. Los africanos lo sabemos demasiado bien. Los bárbaros son siempre enemigos de la paz.“ https://t.co/2Z6VE4XvNq",2
54,1.2341107963110236e+18,"La ofensiva de las cloacas contra Podemos y otras formaciones políticas es un ataque a la democracia, una humillación para la inmensa mayoría de policías y guardias civiles honrados y un insulto al periodismo decente. No dejaremos de señalar a los responsables de semejante vileza https://t.co/aaMX3SG2BM",2
56,1.275826567327998e+18,"   Nuestra @policiademadrid es un verdadero orgullo para todos los madrileños

   ‍♀️ Gracias por estar siempre ahí, por cuidarnos y protegernos con profesionalidad y valentía, incluso en los momentos más duros de esta crisis

    ¡Feliz día de #SanJuan y #GraciasHéroes! https://t.co/fB1OCQYpiu",0
57,1.2710232473169592e+18,.@JLAceves pone en valor la labor del @PSOE_CyL para lograr que la Junta se comprometa a reabrir los consultorios médicos del medio rural. #DefenderCyL https://t.co/Qz11ngOpu0,0
